Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
50,Call of Duty: Modern Warfare 2,Shooter,M,X360,Activision,9.5,9,,13.53,8.54,3.63,0.08,1.28,2009
51,Call of Duty: WWII,Shooter,M,PS4,Activision,8,,,13.4,4.67,6.21,0.4,2.12,2017
52,Call of Duty: Modern Warfare 3,Shooter,M,PS3,Activision,8.8,,,13.35,5.54,5.78,0.49,1.54,2011
53,Super Smash Bros. Brawl,Fighting,T,Wii,Nintendo,9.2,9.7,13.29,,,,,,2008
54,Grand Theft Auto III,Action,M,PS2,Rockstar Games,9.5,,,13.1,6.99,4.51,0.3,1.3,2001
55,New Super Mario Bros. 2,Platform,E,3DS,Nintendo,7.5,,13.08,,,,,,2012
56,Portal 2,Shooter,E10,PC,Valve,9.7,,13.06,,,,,,2011
57,Minecraft,Misc,E10,X360,Microsoft Studios,,,13,,,,,,2013
58,Super Mario Galaxy,Platform,E,Wii,Nintendo,9.7,9.6,12.78,,,,,,2007
59,Pokemon Heart Gold / Soul Silver Version,Role-Playing,E,DS,Nintendo,8.6,,12.72,,,,,,2010
60,Call of Duty: Black Ops,Shooter,M,PS3,Activision,8.7,,,12.67,6.01,4.4,0.48,1.78,2010
61,Grand Theft Auto V,Action,M,PC,Rockstar Games,,,12.6,,,,,,2015
62,Super Mario 3D Land,Platform,E,3DS,Nintendo,8.9,,12.41,,,,,,2011
63,Animal Crossing: New Leaf,Simulation,E,3DS,Nintendo,8.6,,12.1,,,,,,2013
64,Super Smash Bros. Ultimate,Fighting,E10,NS,Nintendo,9.4,9.7,12.08,,,,,,2018
65,Diablo III,Role-Playing,M,PC,Blizzard Entertainment,9,,12,,,,,,2012
66,Pokemon FireRed / LeafGreen Version,Role-Playing,E,GBA,Nintendo,8.3,,12,,,,,,2004
67,Gran Turismo 5,Racing,E,PS3,Sony Computer Entertainment,8.3,,11.95,,,,,,2010
68,Super Mario 64,Platform,E,N64,Nintendo,9.7,,11.91,,,,,,1996
69,FIFA 18,Sports,E,PS4,EA Sports,8.3,,,11.8,1.27,8.64,0.15,1.73,2017
70,Gran Turismo 4,Racing,E,PS2,Sony Computer Entertainment,8.7,,11.76,,,,,,2005
71,Animal Crossing: Wild World,Simulation,E,DS,Nintendo,8.5,,11.75,,,,,,2005
72,The Legend of Zelda: Breath of the Wild,Action-Adventure,E10,NS,Nintendo,9.9,10,11.68,,,,,,2017
73,Super Mario Land 2: 6 Golden Coins,Platform,E,GB,Nintendo,9,,11.18,,,,,,1992
74,Grand Theft Auto IV,Action,M,X360,Rockstar Games,10,,,11.09,6.8,3.11,0.14,1.04,2008
75,Super Mario 64 DS,Platform,E,DS,Nintendo,8.6,,11.06,,,,,,2004
76,Terraria,Platform,T,PC,Unknown,8.8,,11,,,,,,2011
77,FIFA 17,Sports,E,PS4,Electronic Arts,8.9,,,10.94,1.26,7.95,0.12,1.61,2016
78,Gran Turismo,Racing,E,PS,Sony Computer Entertainment,9.5,,10.85,,,,,,1998
79,Call of Duty: Modern Warfare 2,Shooter,M,PS3,Activision,9.5,,,10.61,4.99,3.66,0.38,1.59,2009
80,Grand Theft Auto IV,Action,M,PS3,Rockstar Games,10,9,,10.57,4.79,3.73,0.44,1.62,2008
81,Super Mario All-Stars,Platform,E,SNES,Nintendo,,9.5,10.55,,,,,,1993
82,Call of Duty: Ghosts,Shooter,M,X360,Activision,6.9,,,10.41,6.76,2.64,0.04,0.98,2013
83,Just Dance 3,Misc,E10,Wii,Ubisoft,7.5,,,10.14,5.95,3.13,,1.06,2011
84,Call of Duty: Ghosts,Shooter,M,PS3,Activision,7.5,,,10.13,4.11,4.01,0.39,1.62,2013
85,Horizon: Zero Dawn,Action,T,PS4,Sony Interactive Entertainment,9.1,8,10,,,,,,2017
86,"Pokemon: Let's Go, Pikachu/Eevee",Role-Playing,E,NS,Nintendo,,,10,,,,,,2018
87,RollerCoaster Tycoon 3,Strategy,E,PC,Atari,8.3,,10,,,,,,2004
88,Halo: Reach,Shooter,M,X360,Microsoft Game Studios,9.3,,,9.97,7.08,2.01,0.08,0.8,2010
89,Portal,Shooter,T,PC,Valve Corporation,9,,9.97,,,,,,2008
90,Halo 4,Shooter,M,X360,Microsoft Studios,,,,9.96,6.72,2.36,0.04,0.83,2012
91,Final Fantasy VII,Role-Playing,T,PS,Sony Computer Entertainment,9.6,9.5,9.9,,,,,,1997
92,Mario Kart 64,Racing,E,N64,Nintendo,8.5,,9.87,,,,,,1997
93,StarCraft,Strategy,T,PC,Blizzard Entertainment,8.7,,9.5,,,,,,1998
94,Super Smash Bros. for 3DS,Fighting,E10,3DS,Nintendo,8.4,,9.45,,,,,,2014
95,Call of Duty 4: Modern Warfare,Shooter,M,X360,Activision,9.6,9,,9.41,5.98,2.39,0.13,0.91,2007
96,Gran Turismo 2,Racing,E,PS,Sony Computer Entertainment,9.2,,9.37,,,,,,1999
97,Wii Party,Misc,E,Wii,Nintendo,7,,9.32,,,,,,2010
98,Call of Duty: Black Ops IIII,Shooter,M,PS4,Activision,,,,9.32,4.05,3.28,0.5,1.49,2018
99,Mario Party DS,Misc,E,DS,Nintendo,7.1,,9.31,,,,,,2007
100,Donkey Kong Country,Platform,E,SNES,Nintendo,9,,9.3,,,,,,1994
101,FIFA 19,Sports,E,PS4,Electronic Arts,,,,9.15,0.84,6.87,0.1,1.34,2018
102,Rust,Action-Adventure,,PC,Facepunch Studios,6.1,,9.15,,,,,,2018
103,Marvel's Spider-Man,Action-Adventure,T,PS4,Sony Interactive Entertainment,9.1,,9,,,,,,2018
104,Half-Life 2,Shooter,M,PC,VU Games,9.7,,8.88,,,,,,2004
105,The Elder Scrolls V: Skyrim,Role-Playing,M,X360,Bethesda Softworks,9.3,,,8.88,5.1,2.83,0.1,0.85,2011
106,Mario Party 8,Misc,E,Wii,Nintendo,6.5,,8.85,,,,,,2007
107,Super Mario Kart,Racing,E,SNES,Nintendo,10,,8.76,,,,,,1992
108,Grand Theft Auto V,Action,M,XOne,Rockstar Games,9,9,,8.72,4.7,3.25,0.01,0.76,2014
109,Uncharted 4: A Thief's End,Action,T,PS4,Sony Interactive Entertainment,9.2,,8.7,,,,,,2016
110,Final Fantasy VIII,Role-Playing,T,PS,Square EA,9.4,,8.6,,,,,,1999
111,Final Fantasy X,Role-Playing,T,PS2,Square,9,10,8.6,,,,,,2001
112,Pokemon Black 2 and White 2,Role-Playing,E,DS,Nintendo,8,8.3,8.52,,,,,,2012
113,Call of Duty: Infinite Warfare,Shooter,M,PS4,Activision,,,,8.48,3.11,3.83,0.19,1.36,2016
114,Fallout 4,Role-Playing,M,PS4,Bethesda Softworks,8.6,,,8.48,2.91,3.97,0.27,1.34,2015
115,Mario Kart 8,Racing,E,WiiU,Nintendo,8.8,,8.42,,,,,,2014
116,Tekken 3,Fighting,T,PS,Namco,9.6,,8.3,,,,,,1998
117,Pokemon: Ultra Sun and Ultra Moon,Role-Playing,E,3DS,Nintendo,8.1,,8.28,,,,,,2017
118,Splatoon 2,Shooter,E10,NS,Nintendo,8.2,,8.27,,,,,,2017
119,FIFA 16,Sports,E,PS4,EA Sports,8.5,,,8.22,1.15,5.77,0.07,1.23,2015
120,GoldenEye 007,Shooter,T,N64,Nintendo,9.8,,8.09,,,,,,1997
121,Star Wars Battlefront (2015),Shooter,T,PS4,Electronic Arts,7.1,,,8.03,3.31,3.19,0.23,1.3,2015
122,FIFA 13,Sports,E,PS3,EA Sports,,,,8.01,1.07,5.13,0.13,1.68,2012
123,Halo 2,Shooter,M,XB,Microsoft Game Studios,9.6,,8,,,,,,2004
124,The Sims 3,Simulation,T,PC,Electronic Arts,8.5,,,7.96,1.01,6.46,,0.5,2009
125,Grand Theft Auto: Liberty City Stories,Action,M,PSP,Rockstar Games,8.8,,,7.72,2.9,2.83,0.24,1.74,2005
126,Pac-Man,Puzzle,,2600,Atari,,,7.7,,,,,,1982
127,Pokemon Platinum Version,Role-Playing,E,DS,Nintendo,8.3,8.9,7.6,,,,,,2009
128,The Legend of Zelda: Ocarina of Time,Adventure,E,N64,Nintendo,9.9,10,7.6,,,,,,1998
129,Crash Bandicoot 2: Cortex Strikes Back,Platform,E,PS,Sony Computer Entertainment,8.6,,,7.58,3.78,2.17,1.31,0.31,1997
130,Call of Duty: Advanced Warfare,Shooter,M,PS4,Activision,8.5,,,7.53,2.84,3.34,0.14,1.22,2014
131,Call of Duty: World at War,Shooter,M,X360,Activision,8.5,7.8,,7.5,4.88,1.91,,0.71,2008
132,Super Mario Bros. 2,Platform,,NES,Nintendo,,,7.46,,,,,,1988
133,Super Mario Galaxy 2,Platform,E,Wii,Nintendo,9.7,9.8,7.41,,,,,,2010
134,Super Smash Bros. Melee,Fighting,T,GC,Nintendo,9.2,,7.41,,,,,,2001
135,Call of Duty: Black Ops 3,Shooter,M,XOne,Activision,,,,7.37,4.63,2.04,0.02,0.68,2015
136,Battlefield 3,Shooter,M,X360,Electronic Arts,8.5,,,7.35,4.47,2.12,0.06,0.69,2011
137,The Legend of Zelda: Twilight Princess,Adventure,T,Wii,Nintendo,9.5,9.6,7.26,,,,,,2006
138,Battlefield 1,Shooter,M,PS4,Electronic Arts,,,,7.26,2.2,3.65,0.29,1.12,2016
139,Battlefield 3,Shooter,M,PS3,Electronic Arts,8.5,,,7.21,2.86,2.94,0.35,1.07,2011
140,Need for Speed Underground,Racing,E,PS2,Electronic Arts,8.6,,,7.2,3.27,2.83,0.08,1.02,2003
141,The Binding of Isaac,Action,,PC,Edmund McMillen,8.3,,7.17,,,,,,2011
142,Crash Bandicoot 3: Warped,Platform,E,PS,Sony Computer Entertainment,9.3,,,7.13,3.68,1.75,1.42,0.28,1998
143,Pokemon Emerald Version,Role-Playing,E,GBA,Nintendo,7.7,,7.06,,,,,,2005
144,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,Role-Playing,E10,3DS,Nintendo,,,7.03,,,,,,2016
145,Need for Speed Underground 2,Racing,E,PS2,Electronic Arts,8.3,,,6.9,2.71,3.02,0.08,1.09,2004
146,Just Dance 4,Music,E10,Wii,Ubisoft,,,,6.89,4.05,2.21,,0.62,2012
147,Mario Kart: Double Dash!!,Racing,E,GC,Nintendo,8.5,,6.88,,,,,,2003
148,Uncharted 3: Drake's Deception,Action,T,PS3,Sony Computer Entertainment,9.3,6.3,,6.84,2.77,2.81,0.19,1.06,2011
149,Medal of Honor: Frontline,Shooter,T,PS2,Electronic Arts,9,,,6.83,2.93,2.75,0.17,0.99,2002
150,Crash Bandicoot,Platform,E,PS,Sony Computer Entertainment,7.8,,6.82,,,,,,1996
151,Zumba Fitness,Sports,E,Wii,Majesco,,,,6.76,3.47,2.62,,0.67,2010
152,Uncharted 2: Among Thieves,Action,T,PS3,Sony Computer Entertainment,9.5,9.6,,6.74,3.28,2.22,0.21,1.02,2009
153,Call of Duty 4: Modern Warfare,Shooter,M,PS3,Activision,9.5,9.6,,6.72,3.13,2.27,0.28,1.04,2007
154,FIFA Soccer 12,Sports,E,PS3,EA Sports,9.2,,,6.65,0.84,4.33,0.11,1.37,2011
155,FIFA 14,Sports,E,PS3,EA Sports,,,,6.61,0.79,4.77,0.07,0.98,2013
156,Red Dead Redemption,Action,M,PS3,Rockstar Games,9.5,,,6.57,2.82,2.58,0.17,1,2011
157,Donkey Kong Country Returns,Platform,E,Wii,Nintendo,8.6,,6.53,,,,,,2010
158,The Legend of Zelda,Adventure,,NES,Nintendo,,,6.51,,,,,,1987
159,Assassin's Creed III,Action-Adventure,M,PS3,Ubisoft,8.8,,,6.5,2.65,2.61,0.16,1.08,2012
160,Guild Wars,Role-Playing,T,PC,NCSoft,8.7,,6.5,,,,,,2005
161,Red Dead Redemption,Action,M,X360,Rockstar Games,9.5,10,,6.5,3.77,2.03,0.09,0.6,2010
162,The Elder Scrolls V: Skyrim,Role-Playing,M,PS3,Bethesda Softworks,9,,,6.49,2.57,2.68,0.25,0.99,2011
163,Final Fantasy XII,Role-Playing,T,PS2,Square Enix,9.4,9.5,6.4,,,,,,2006
164,Tomodachi Life,Simulation,E,3DS,Nintendo,7.8,,6.4,,,,,,2014
165,Pokemon Crystal Version,Role-Playing,E,GBC,Nintendo,8.7,,6.39,,,,,,2001
166,Halo 3: ODST,Shooter,M,X360,Microsoft Game Studios,8.7,,,6.35,4.34,1.34,0.06,0.61,2009
167,Minecraft,Misc,E10,PS4,Sony Computer Entertainment,9.4,,,6.33,1.89,3.13,0.35,0.96,2014
168,FIFA 15,Sports,E,PS4,EA Sports,8.1,,,6.32,0.83,4.49,0.05,0.94,2014
169,Kingdom Hearts,Role-Playing,E,PS2,Square EA,8.5,,6.3,,,,,,2002
170,Street Fighter II: The World Warrior,Fighting,,SNES,Capcom,,,6.3,,,,,,1992
171,The Last of Us,Action-Adventure,M,PS3,Sony Computer Entertainment America,9.5,,,6.27,2.41,2.57,0.29,0.99,2013
172,Driver,Action,T,PS,GT Interactive,8.5,,,6.27,3.11,2.8,0.02,0.33,1999
173,Call of Duty: WWII,Shooter,M,XOne,Activision,,,,6.23,3.75,1.91,,0.57,2017
174,God of War (2018),Action,M,PS4,Sony Interactive Entertainment,9.7,,,6.15,2.83,2.17,0.13,1.02,2018
175,Big Brain Academy,Misc,E,DS,Nintendo,7.7,,6.15,,,,,,2006
176,Minecraft,Misc,E10,PS3,Sony Computer Entertainment America,,,,6.05,2.21,2.86,,0.99,2014
177,Metal Gear Solid 2: Sons of Liberty,Action,M,PS2,Konami,9.5,7,,6.05,2.45,2.01,0.87,0.72,2001
178,Metal Gear Solid,Action,M,PS,Konami,9.3,,6,,,,,,1998
179,Myst,Adventure,E,PC,Broderbund,8.9,,6,,,,,,1995
180,Sonic the Hedgehog 2,Platform,,GEN,Sega,,,6,,,,,,1992
181,Metal Gear Solid 4: Guns of the Patriots,Action,M,PS3,Konami,9.3,9.8,,6,2.63,1.72,0.83,0.81,2008
182,Euro Truck Simulator 2,Simulation,,PC,SCS Software,8.5,,5.98,,,,,,2013
183,Mario Kart: Super Circuit,Racing,E,GBA,Nintendo,9.3,,5.91,,,,,,2001
184,Super Mario Sunshine,Platform,E,GC,Nintendo,9.2,,5.91,,,,,,2002
185,LittleBigPlanet,Platform,E,PS3,Sony Computer Entertainment,9.4,9.2,,5.85,2.8,2.01,0.17,0.87,2008
186,Age of Empires II: HD Edition,Strategy,,PC,Microsoft Studios,,,5.82,,,,,,2013
187,Super Mario 3D World,Platform,E,WiiU,Nintendo,9.5,,5.8,,,,,,2013
188,Link's Crossbow Training,Shooter,T,Wii,Nintendo,6.9,,5.79,,,,,,2007
189,Red Dead Redemption 2,Action-Adventure,M,XOne,Rockstar Games,,,,5.77,3.76,1.47,,0.54,2018
190,New Super Mario Bros. U,Platform,E,WiiU,Nintendo,8.4,,5.77,,,,,,2012
191,Destiny,Shooter,T,PS4,Activision,,,,5.76,2.53,2.13,0.16,0.94,2014
192,Luigi's Mansion: Dark Moon,Adventure,E,3DS,Nintendo,8.6,,5.75,,,,,,2013
193,Tekken 2,Fighting,T,PS,Namco,9.1,,,5.74,2.26,1.89,1.36,0.23,1996
194,Uncharted: The Nathan Drake Collection,Action,,PS4,Sony Computer Entertainment,,,,5.7,2.55,2.11,0.1,0.94,2015
195,Super Mario World: Super Mario Advance 2,Platform,E,GBA,Nintendo,9.4,,5.69,,,,,,2002
196,LEGO Star Wars: The Complete Saga,Action,E10,Wii,LucasArts,8,,,5.66,3.57,1.57,,0.52,2007
197,Cooking Mama,Simulation,E,DS,Majesco,6.6,,,5.66,3.09,1.92,0.07,0.58,2006
198,The Legend of Zelda: Ocarina of Time 3D,Action-Adventure,E10,3DS,Nintendo,9.5,,5.62,,,,,,2011
199,Tetris,Puzzle,,NES,Nintendo,,,5.58,,,,,,1989
200,Super Mario Advance,Platform,E,GBA,Nintendo,8.2,,5.57,,,,,,2001
201,Assassin's Creed II,Action,M,PS3,Ubisoft,9,,,5.57,2.54,1.95,0.21,0.86,2009
202,Super Smash Bros.,Fighting,E,N64,Nintendo,8.4,,5.55,,,,,,1999
203,Assassin's Creed,Action,M,X360,Ubisoft,8.2,8,,5.55,3.28,1.64,0.07,0.56,2007
204,Batman: Arkham City,Action,T,PS3,Warner Bros. Interactive,9.6,,,5.54,2.72,1.89,0.11,0.82,2011
205,Forza Motorsport 3,Racing,E,X360,Microsoft Game Studios,9.2,9.8,,5.5,2.99,1.9,0.1,0.51,2009
206,Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing,E10,DS,Nintendo,8.6,,5.5,,,,,,2010
207,Final Fantasy IX,Role-Playing,T,PS,Square,9.2,,5.5,,,,,,2000
208,Final Fantasy X-2,Role-Playing,T,PS2,Square Enix,8.3,,5.5,,,,,,2003
209,Tomb Raider (2013),Action,M,PC,Square Enix,8.8,,5.5,,,,,,2013
210,The Witcher 3: Wild Hunt,Role-Playing,M,PC,Warner Bros. Interactive Entertainment,,,5.48,,,,,,2015
211,Pokemon Stadium,Strategy,E,N64,Nintendo,7.5,,5.46,,,,,,2000
212,Minecraft,Misc,E10,XOne,Microsoft Studios,,,,5.43,3.23,1.71,,0.49,2014
213,Call of Duty: World at War,Shooter,M,PS3,Activision,8.4,,,5.43,2.75,1.84,,0.84,2008
214,Super Mario Advance 4: Super Mario Bros. 3,Platform,E,GBA,Nintendo,9.2,,5.43,,,,,,2003
215,Crash Bandicoot: The Wrath of Cortex,Platform,E,PS2,Universal Interactive,6.9,,,5.42,2.07,2.29,0.24,0.82,2001
216,The Witcher 3: Wild Hunt,Role-Playing,M,PS4,Warner Bros. Interactive Entertainment,,,,5.39,1.48,2.82,0.28,0.81,2015
217,Final Fantasy XIII,Role-Playing,T,PS3,Square Enix,8,9.2,,5.35,1.75,1.23,1.87,0.51,2010
218,Gran Turismo 5 Prologue,Racing,E,PS3,Sony Computer Entertainment,8.3,,5.35,,,,,,2008
219,Super Smash Bros. for Wii U,Fighting,E10,WiiU,Nintendo,9.2,,5.35,,,,,,2014
220,Dr. Mario,Puzzle,,GB,Nintendo,,,5.34,,,,,,1990
221,Assassin's Creed III,Action-Adventure,M,X360,Ubisoft,,,,5.31,3.13,1.71,0.03,0.45,2012
222,Pokemon Pinball,Misc,E,GBC,Nintendo,8.7,,5.31,,,,,,1999
223,Assassin's Creed II,Action,M,X360,Ubisoft,9.1,,,5.3,3.14,1.55,0.08,0.52,2009
224,Super Mario Party,Party,E,NS,Nintendo,7.3,,5.3,,,,,,2018
225,The Forest,Misc,,PC,Endnight Games Ltd,,,5.3,,,,,,2014
226,Donkey Kong 64,Platform,E,N64,Nintendo,9.3,,5.27,,,,,,1999
227,Just Dance 2,Misc,E10,Wii,Ubisoft,7.3,,5.25,,,,,,2010
228,Tomb Raider II,Adventure,T,PS,Eidos Interactive,7.6,,,5.24,2.3,2.46,0.2,0.28,1997
229,Madden NFL 2004,Sports,E,PS2,EA Sports,9.5,,,5.23,4.26,0.26,0.01,0.71,2003
230,Call of Duty: Advanced Warfare,Shooter,M,XOne,Activision,8.3,,,5.22,3.25,1.49,0.01,0.48,2014
231,Fallout: New Vegas,Role-Playing,M,PC,Bethesda Softworks,8.3,,5.22,,,,,,2010
232,Gran Turismo 6,Racing,E,PS3,Sony Computer Entertainment America,,,5.22,,,,,,2013
233,Kingdom Hearts II,Role-Playing,E10,PS2,Square Enix,8.3,,5.2,,,,,,2006
234,God of War III,Action,M,PS3,Sony Computer Entertainment,9.2,9.4,5.2,,,,,,2010
235,Nintendo Land,Party,E10,WiiU,Nintendo,7.8,,5.19,,,,,,2012
236,Super Mario Land 3: Wario Land,Platform,E,GB,Nintendo,7.9,,5.19,,,,,,1994
237,Donkey Kong Country 2: Diddy's Kong Quest,Platform,E,SNES,Nintendo,9.3,,5.15,,,,,,1995
238,Medal of Honor: Rising Sun,Shooter,T,PS2,Electronic Arts,5.9,,,5.13,1.98,2.23,0.13,0.8,2003
239,Battlefield 1,Shooter,M,XOne,Electronic Arts,,,,5.13,3.37,1.26,0.02,0.48,2016
240,Kirby's Dream Land,Platform,E,GB,Nintendo,,,5.13,,,,,,1992
241,Microsoft Flight Simulator,Simulation,E,PC,Microsoft,7,,,5.12,3.22,1.69,,0.2,1996
242,Guitar Hero II,Misc,T,PS2,RedOctane,9.2,,,5.12,3.81,0.63,,0.68,2006
243,FIFA 13,Sports,E,X360,EA Sports,,,,5.11,1.1,3.49,0.03,0.5,2012
244,Resident Evil 5,Action,M,PS3,Capcom,8.6,8.8,,5.1,1.96,1.42,1.08,0.64,2009
245,Fable III,Role-Playing,M,X360,Microsoft Game Studios,7.8,,,5.1,3.59,1.09,0.05,0.37,2010
246,Mario & Sonic at the Olympic Games,Sports,E,DS,Sega,7,,,5.1,1.63,2.46,0.44,0.57,2008
247,Grand Theft Auto: Vice City Stories,Action,M,PSP,Rockstar Games,8.4,,,5.08,1.7,2.03,0.16,1.19,2006
248,FIFA Soccer 11,Sports,E,PS3,EA Sports,8.7,,,5.08,0.61,3.28,0.06,1.12,2010
249,Super Mario Bros. Deluxe,Platform,E,GB,Nintendo,9.7,,5.07,,,,,,1999
250,Final Fantasy XV,Role-Playing,T,PS4,Square Enix,8.1,,,5.07,1.81,1.53,1.05,0.68,2016
251,Fallout 4,Role-Playing,M,XOne,Bethesda Softworks,8.4,,,5.03,2.94,1.62,0.02,0.45,2015
252,Tony Hawk's Pro Skater,Sports,T,PS,Activision,9.6,,,5.02,3.42,1.38,0.02,0.2,1999
253,Warzone 2100,Strategy,T,PS,Eidos Interactive,,,,5.01,2.79,1.89,,0.33,1999
254,Spyro the Dragon,Platform,E,PS,Sony Computer Entertainment,8.7,,,5,3.36,1.36,0.07,0.21,1998
255,Cities: Skylines,Simulation,E,PC,Paradox Interactive,,,5,,,,,,2015
256,Gears of War,Shooter,M,X360,Microsoft Game Studios,9.4,9.4,5,,,,,,2006
257,Gears of War 2,Shooter,M,X360,Microsoft Game Studios,9.4,9.5,5,,,,,,2008
258,Guild Wars 2,Role-Playing,T,PC,NCSoft,,,5,,,,,,2012
259,Halo 5: Guardians,Shooter,T,XOne,Microsoft Studios,8.6,,5,,,,,,2015
260,Halo: Combat Evolved,Shooter,M,XB,Microsoft,9.5,,5,,,,,,2001
261,Guitar Hero III: Legends of Rock,Misc,T,PS2,RedOctane,8.2,,,4.98,3.49,0.01,0.01,1.48,2007
262,Uncharted: Drake's Fortune,Action,T,PS3,Sony Computer Entertainment,8.7,8.6,,4.97,2.32,1.73,0.12,0.8,2007
263,Resident Evil 2,Action,M,PS,Capcom,9.3,,4.96,,,,,,1998
264,Fallout 3,Role-Playing,M,X360,Bethesda Softworks,9,8.6,,4.96,3.41,0.99,0.09,0.46,2008
